NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
JARDIM CONTINENTAL;MUITO BAIXA;B. INDEPEND√øNCIA;8;1;Favela;null;1970;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;MARGEM DE CORREGO;
CASA NOVA;ALTA;B. DOS ALVARENGA;81;6;Favela;null;1995;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
VILA BOA VISTA - RUA MARIO PAULO AUTUORI com RUA SANTO EXPEDITO (PRACA);MUITO ALTA;B. DOS FINCO;18;4;Favela;null;1980;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM SANTO INACIO (AV. ISAAC AIZEMBERG);ALTA;B. INDEPEND√øNCIA;6;6;Favela Urbanizada;null;1990;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;COLINA;
JARDIM SKAFF/ LOTEAMENTO IRREGULAR;BAIXA;B. BATISTINI;88;6;Loteamento Irregular;1958;1958;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
VILA SAO JOSE (RUA OSVALDO FREGONEZI);BAIXA;B. ASSUNCAO;171;2;Favela Urbanizada;null;1980;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;NAO ;MORRO BAIXO;
PEDREIRA;MUITO ALTA;B.MONTANH√øO;453;6;Favela Urbanizada;1996;1996;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;PMRR: AÁıes em andamento;NAO ;MORRO ALTO;
VILA OLARIA;BAIXA;B. DOS FINCO;181;5;Loteamento Irregular;1993;1977;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO/ FUNDO DE VALE;
JOSE SZAYKOWSKI E OUTROS;BAIXA;B. DOS FINCO;48;1;Loteamento Irregular;null;1992;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM CENTRAL;BAIXA;B. DOS CASA;null;1;Loteamento Irregular;1989;2010;MURE / ARA 1;Nada consta;RegularizaÁ„o Fundi·ria;526;AÁıes em andamento;SIM ;COLINA;
